,Unnamed: 0,conversation id,turn,score distilbert,score roberta,distilbert_input_score,distilbert_output_score,roberta_input_score,roberta_output_score,distilbert_input_label,distilbert_output_label,roberta_input_label,roberta_output_label
0,0,0,0,"(0.004701793193817139, 0.0004329383373260498)","(0.7018428240189544, 0.005413894749546136)",0.004701793193817139,0.0004329383373260498,0.7018428240189544,0.005413894749546136,0,0,1,0
1,1,0,1,"(0.9747035503387451, 0.0005187392234802246)","(0.9672841063637398, 0.0374781357896702)",0.9747035503387451,0.0005187392234802246,0.9672841063637398,0.0374781357896702,1,0,1,0
2,2,0,2,"(0.006897479295730591, 0.0004832744598388672)","(0.06180805446941905, 0.005288179568884407)",0.006897479295730591,0.0004832744598388672,0.06180805446941905,0.005288179568884407,0,0,0,0
3,3,0,3,"(0.03438770771026611, 0.0004131495952606201)","(0.015316786283970756, 0.006893005590026161)",0.03438770771026611,0.0004131495952606201,0.015316786283970756,0.006893005590026161,0,0,0,0
4,4,0,4,"(0.0007506012916564941, 0.0004433095455169678)","(0.006986191277513682, 0.005288172044092209)",0.0007506012916564941,0.0004433095455169678,0.006986191277513682,0.005288172044092209,0,0,0,0
5,5,0,5,"(0.23575887084007263, 0.0007508993148803711)","(0.2286866698495908, 0.021060048528389393)",0.23575887084007263,0.0007508993148803711,0.2286866698495908,0.021060048528389393,0,0,0,0
6,6,0,6,"(0.9806650578975677, 0.0004450380802154541)","(0.9803349742884283, 0.005668711840187994)",0.9806650578975677,0.0004450380802154541,0.9803349742884283,0.005668711840187994,1,0,1,0
7,7,0,7,"(0.003407299518585205, 0.0005302131175994873)","(0.007546291163345444, 0.005475196584848816)",0.003407299518585205,0.0005302131175994873,0.007546291163345444,0.005475196584848816,0,0,0,0
8,8,0,8,"(0.8359702527523041, 0.005100548267364502)","(0.9350484598852005, 0.03685830060423948)",0.8359702527523041,0.005100548267364502,0.9350484598852005,0.03685830060423948,1,0,1,0
9,9,0,9,"(0.0038177967071533203, 0.00047895312309265137)","(0.9613284083161583, 0.005960780453473133)",0.0038177967071533203,0.00047895312309265137,0.9613284083161583,0.005960780453473133,0,0,1,0
10,10,1,0,"(0.19442149996757507, 0.000510871410369873)","(0.8933270833590621, 0.01024603872043002)",0.19442149996757507,0.000510871410369873,0.8933270833590621,0.01024603872043002,0,0,1,0
11,11,1,1,"(0.9726484417915344, 0.0004906654357910156)","(0.9760010344509888, 0.008094817391530217)",0.9726484417915344,0.0004906654357910156,0.9760010344509888,0.008094817391530217,1,0,1,0
12,12,1,2,"(0.0006279349327087402, 0.0004705488681793213)","(0.008708276124767406, 0.005812729897492966)",0.0006279349327087402,0.0004705488681793213,0.008708276124767406,0.005812729897492966,0,0,0,0
13,13,1,3,"(0.19519993662834167, 0.00042635202407836914)","(0.9485298903374781, 0.006750285004784879)",0.19519993662834167,0.00042635202407836914,0.9485298903374781,0.006750285004784879,0,0,1,0
14,14,1,4,"(0.001153707504272461, 0.0006072819232940674)","(0.005061169960635513, 0.005017465953918915)",0.001153707504272461,0.0006072819232940674,0.005061169960635513,0.005017465953918915,0,0,0,0
15,15,1,5,"(0.027420729398727417, 0.0006684660911560059)","(0.06391006957103008, 0.006387546113846101)",0.027420729398727417,0.0006684660911560059,0.06391006957103008,0.006387546113846101,0,0,0,0
16,16,1,6,"(0.0007497668266296387, 0.0006090700626373291)","(0.007169971047124011, 0.005254363281677283)",0.0007497668266296387,0.0006090700626373291,0.007169971047124011,0.005254363281677283,0,0,0,0
17,17,1,7,"(0.0005254447460174561, 0.0004774630069732666)","(0.005564378507530657, 0.005052468478202999)",0.0005254447460174561,0.0004774630069732666,0.005564378507530657,0.005052468478202999,0,0,0,0
18,18,1,8,"(0.002909451723098755, 0.000619053840637207)","(0.005874924642212068, 0.004978491288917286)",0.002909451723098755,0.000619053840637207,0.005874924642212068,0.004978491288917286,0,0,0,0
19,19,1,9,"(0.0004920363426208496, 0.0037019550800323486)","(0.006530581323047978, 0.01042472610128976)",0.0004920363426208496,0.0037019550800323486,0.006530581323047978,0.01042472610128976,0,0,0,0
20,20,2,0,"(0.0010896921157836914, 0.0005199909210205078)","(0.028780734488143264, 0.005328870579380801)",0.0010896921157836914,0.0005199909210205078,0.028780734488143264,0.005328870579380801,0,0,0,0
21,21,2,1,"(0.9471906125545502, 0.001852959394454956)","(0.7035034288340063, 0.01023825144579476)",0.9471906125545502,0.001852959394454956,0.7035034288340063,0.01023825144579476,1,0,1,0
22,22,2,2,"(0.0679260790348053, 0.000497668981552124)","(0.7834125678880344, 0.007883704105109744)",0.0679260790348053,0.000497668981552124,0.7834125678880344,0.007883704105109744,0,0,1,0
23,23,2,3,"(0.001625657081604004, 0.000474780797958374)","(0.8158806210356178, 0.006668529991783997)",0.001625657081604004,0.000474780797958374,0.8158806210356178,0.006668529991783997,0,0,1,0
