,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9699322283267975, 0.0006261467933654785)","(0.8723527243432034, 0.005298656872621144)"
1,0,1,"(0.06938102841377258, 0.00047662854194641113)","(0.20320335733880737, 0.005200092308859003)"
2,0,2,"(0.9797703623771667, 0.9658417403697968)","(0.9705981797017087, 0.21117735280525343)"
3,0,3,"(0.9601562023162842, 0.02369573712348938)","(0.8750316613334476, 0.08671932175633248)"
4,0,4,"(0.974921464920044, 0.0038368701934814453)","(0.4931275539590316, 0.8838445634625218)"
5,0,5,"(0.9796321988105774, 0.0007488727569580078)","(0.9795740319992514, 0.04421856565596226)"
6,0,6,"(0.9794841706752777, 0.9016535878181458)","(0.9743056440154226, 0.8016148410733275)"
7,0,7,"(0.979680746793747, 0.0013269782066345215)","(0.9737841441597854, 0.008946503736535147)"
8,0,8,"(0.9805263578891754, 0.0005395412445068359)","(0.9795635009429127, 0.00495828654023765)"
9,0,9,"(0.9801597595214844, 0.0005886852741241455)","(0.9748066648030105, 0.0058240388387332965)"
10,1,0,"(0.9778663218021393, 0.0006645917892456055)","(0.9616219729946911, 0.005545239692396888)"
11,1,1,"(0.9823574423789978, 0.0006287992000579834)","(0.9776711442235925, 0.005141513213695992)"
12,1,2,"(0.9719648659229279, 0.0007654726505279541)","(0.933410511893865, 0.01352227324480721)"
13,1,3,"(0.07873305678367615, 0.0004400908946990967)","(0.7648703867967404, 0.015150907597804339)"
14,1,4,"(0.9839428961277008, 0.9580754935741425)","(0.940751262592564, 0.918264642995315)"
15,1,5,"(0.9785670340061188, 0.8389003574848175)","(0.9564093519976921, 0.9454661336400003)"
16,1,6,"(0.012466877698898315, 0.0008632540702819824)","(0.7865475611988135, 0.005067698041739386)"
17,1,7,"(0.9788637161254883, 0.0008414983749389648)","(0.9805396493591703, 0.005468779226269716)"
18,1,8,"(0.9812046587467194, 0.0010124742984771729)","(0.9589822578873222, 0.007896544312885069)"
19,1,9,"(0.9836493134498596, 0.0007171332836151123)","(0.9700017438874493, 0.005100977317563237)"
20,2,0,"(0.9813864827156067, 0.975448489189148)","(0.979193275719799, 0.9435437839028601)"
21,2,1,"(0.9815370142459869, 0.0020861923694610596)","(0.9568535236493071, 0.005852748227812701)"
22,2,2,"(0.9579748809337616, 0.09597265720367432)","(0.9460436503857996, 0.779950960969163)"
23,2,3,"(0.9785041213035583, 0.04342472553253174)","(0.9672536792483925, 0.9512139774349289)"
24,2,4,"(0.9817629754543304, 0.8298316299915314)","(0.9585261940634248, 0.3879325163417018)"
25,2,5,"(0.7680913507938385, 0.010987460613250732)","(0.13994387471460293, 0.04275624987511539)"
