,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9836800992488861, 0.9241691827774048)","(0.977336721037767, 0.9399187086667193)"
1,0,1,"(0.9825729429721832, 0.13853144645690918)","(0.9779300386855199, 0.11829166532942059)"
2,0,2,"(0.9770996868610382, 0.971108078956604)","(0.9640676382267883, 0.9547209002105995)"
3,0,3,"(0.9812555611133575, 0.9704093635082245)","(0.977436673010572, 0.4367666391791526)"
4,0,4,"(0.0029105544090270996, 0.0005929470062255859)","(0.01038527536941011, 0.005637501658380776)"
5,0,5,"(0.9751229286193848, 0.8047920763492584)","(0.9656546132941071, 0.22480544797518)"
6,0,6,"(0.9794089794158936, 0.0006202459335327148)","(0.9758921874031833, 0.005322755084873305)"
7,0,7,"(0.9759067893028259, 0.9762000739574432)","(0.9626749031668447, 0.9592435987482908)"
8,0,8,"(0.970832496881485, 0.0007390677928924561)","(0.9594837002474363, 0.008607332778382985)"
9,0,9,"(0.1727539300918579, 0.0005772113800048828)","(0.03791693678768129, 0.005276473856705352)"
10,1,0,"(0.9758274257183075, 0.0007859468460083008)","(0.953286169430865, 0.004777636370262557)"
11,1,1,"(0.9795942604541779, 0.06717491149902344)","(0.9575041049298827, 0.05041652371110251)"
12,1,2,"(0.9806157052516937, 0.9422581791877747)","(0.9739672518325243, 0.04994502582762557)"
13,1,3,"(0.9836650490760803, 0.0007473230361938477)","(0.9799369507400696, 0.005439693009658418)"
14,1,4,"(0.9784630835056305, 0.0006211400032043457)","(0.974088109924603, 0.008541200693930977)"
15,1,5,"(0.9743476212024689, 0.0009169876575469971)","(0.966906515506787, 0.008571737360388533)"
16,1,6,"(0.767653226852417, 0.0710102915763855)","(0.9435861752282713, 0.11061147634625917)"
17,1,7,"(0.9719777703285217, 0.11086651682853699)","(0.9310442680631761, 0.10668936690289534)"
18,1,8,"(0.9722291231155396, 0.03518497943878174)","(0.970198386928327, 0.0271096499530391)"
19,1,9,"(0.983031153678894, 0.00045377016067504883)","(0.9780490233338811, 0.007699194645650858)"
20,2,0,"(0.9830359518527985, 0.9614710509777069)","(0.9788822613376146, 0.9513548726778598)"
21,2,1,"(0.9761807024478912, 0.0005503296852111816)","(0.9775384663816338, 0.004968118216180872)"
22,2,2,"(0.9783885478973389, 0.20742931962013245)","(0.9740190505493749, 0.1772067253875129)"
23,2,3,"(0.9833187162876129, 0.00047585368156433105)","(0.9795277980460991, 0.05133014655033544)"
24,2,4,"(0.9766778349876404, 0.053597837686538696)","(0.3590258650275059, 0.11364790042675944)"
25,2,5,"(0.9779669046401978, 0.0010939240455627441)","(0.97438995291428, 0.0347196003320695)"
26,2,6,"(0.975543200969696, 0.00039446353912353516)","(0.9665230589583003, 0.008357414422300329)"
27,2,7,"(0.9765489995479584, 0.0004584193229675293)","(0.9769074070675456, 0.005197813572009379)"
28,2,8,"(0.018784135580062866, 0.24926438927650452)","(0.24248648065343015, 0.29011184753027464)"
29,2,9,"(0.978772908449173, 0.19751113653182983)","(0.9724352588221429, 0.755287562257233)"
30,3,0,"(0.9810606241226196, 0.004205554723739624)","(0.9795217922107522, 0.026304877495908485)"
31,3,1,"(0.16593268513679504, 0.8891483843326569)","(0.10880114734103896, 0.6925926073405636)"
32,3,2,"(0.8336015939712524, 0.0028447508811950684)","(0.9365180064107007, 0.012954042536108568)"
33,3,3,"(0.9814711809158325, 0.0005171298980712891)","(0.9388059929843495, 0.005354258245608356)"
34,3,4,"(0.9825922548770905, 0.0007477402687072754)","(0.9785145618716379, 0.012308928782743677)"
35,3,5,"(0.9832800030708313, 0.00042945146560668945)","(0.9676427333580656, 0.005676315117248933)"
36,3,6,"(0.9760349690914154, 0.9276598691940308)","(0.9526091632065733, 0.40487511019857436)"
37,3,7,"(0.9770527482032776, 0.9292703568935394)","(0.9757239364702133, 0.9783840924302079)"
38,3,8,"(0.9805538058280945, 0.0005076825618743896)","(0.9766420848259705, 0.006001851725755696)"
39,3,9,"(0.9816794097423553, 0.007328808307647705)","(0.9772961918221853, 0.06900215623234612)"
40,4,0,"(0.980841189622879, 0.028556525707244873)","(0.9754379565842684, 0.28468047434705174)"
41,4,1,"(0.016027837991714478, 0.0012578368186950684)","(0.3025497730513039, 0.0496061954121805)"
42,4,2,"(0.9715381860733032, 0.941827803850174)","(0.9763310163762289, 0.9599714175908851)"
43,4,3,"(0.9694708287715912, 0.0005572140216827393)","(0.9691043004823021, 0.005115379139523568)"
44,4,4,"(0.9317343533039093, 0.9583567678928375)","(0.27784507970167016, 0.9295227595796177)"
45,4,5,"(0.9764854907989502, 0.9774673581123352)","(0.9568814496687005, 0.9618488566529284)"
46,4,6,"(0.980724573135376, 0.0005049407482147217)","(0.9800155531035262, 0.005200598007454379)"
47,4,7,"(0.9816616177558899, 0.0005057156085968018)","(0.97984170632987, 0.005764644846596571)"
48,4,8,"(0.9671064019203186, 0.0007630288600921631)","(0.2712780308427179, 0.005134897844299022)"
49,4,9,"(0.9672990143299103, 0.0006445050239562988)","(0.9577221860297022, 0.00489089353929132)"
50,5,0,"(0.976193368434906, 0.8708151578903198)","(0.975636361707119, 0.9553204221600173)"
51,5,1,"(0.9761284291744232, 0.0007107853889465332)","(0.9555783049031499, 0.005318717284505185)"
52,5,2,"(0.9805789887905121, 0.8759396970272064)","(0.9701564734192318, 0.9225083392475523)"
53,5,3,"(0.9820323288440704, 0.000660628080368042)","(0.9745488944966466, 0.005066116310086102)"
54,5,4,"(0.9814720749855042, 0.9479901194572449)","(0.9791139850818429, 0.9541902647840667)"
55,5,5,"(0.9830276072025299, 0.978623777627945)","(0.9771195910848375, 0.9254435331495958)"
56,5,6,"(0.9809017181396484, 0.7666133046150208)","(0.9798068285193935, 0.2119351962061429)"
57,5,7,"(0.9773626029491425, 0.0005325376987457275)","(0.9759122825484354, 0.005296267347031554)"
58,5,8,"(0.9782955348491669, 0.000670313835144043)","(0.9787594143098766, 0.005013782270742288)"
59,5,9,"(0.9776827692985535, 0.9438520669937134)","(0.9765557340172629, 0.6459218123407684)"
60,6,0,"(0.9770267605781555, 0.006533592939376831)","(0.9601478707232848, 0.00799567631832269)"
61,6,1,"(0.9833628237247467, 0.005573749542236328)","(0.9669761659656778, 0.01879816364726033)"
62,6,2,"(0.9764239490032196, 0.0005929470062255859)","(0.9630402536471557, 0.005078839346702078)"
63,6,3,"(0.9769323766231537, 0.0007049143314361572)","(0.973081157986241, 0.048652399059755144)"
64,6,4,"(0.9801208972930908, 0.0004464089870452881)","(0.9651169780382529, 0.005776816503078985)"
65,6,5,"(0.9728325307369232, 0.0054763853549957275)","(0.957218352522, 0.011723063126815342)"
66,6,6,"(0.9751271307468414, 0.03192269802093506)","(0.9742803727748495, 0.024379602286987063)"
67,6,7,"(0.9704964756965637, 0.035424381494522095)","(0.9539003950213727, 0.26639772046976995)"
68,6,8,"(0.9821542203426361, 0.0005446672439575195)","(0.9802329674556786, 0.005164567247489095)"
69,6,9,"(0.9762988686561584, 0.00044730305671691895)","(0.9688698639577888, 0.009517773511958719)"
70,7,0,"(0.9776270687580109, 0.9335461556911469)","(0.9754213171340826, 0.9177628636213288)"
71,7,1,"(0.9809477031230927, 0.0007101893424987793)","(0.9795910841810105, 0.005278133434925031)"
72,7,2,"(0.9646426439285278, 0.0004373490810394287)","(0.9786270882764257, 0.00858183344580468)"
73,7,3,"(0.8431607186794281, 0.004844695329666138)","(0.11752066837871905, 0.026925006700794)"
74,7,4,"(0.9807119965553284, 0.0006760656833648682)","(0.9316535987189984, 0.00624984180928096)"
75,7,5,"(0.9771687686443329, 0.0016858875751495361)","(0.9705284146859231, 0.03452901613520037)"
76,7,6,"(0.9592810571193695, 0.000413745641708374)","(0.9055159335083867, 0.005207808912679195)"
77,7,7,"(0.9768922328948975, 0.22904419898986816)","(0.9758731256567351, 0.11549753238810725)"
78,7,8,"(0.980581521987915, 0.000444561243057251)","(0.9791276470409797, 0.004884951363884737)"
79,7,9,"(0.9799084067344666, 0.0021421611309051514)","(0.9782447110813106, 0.007940611823175176)"
80,8,0,"(0.9824430048465729, 0.9756051301956177)","(0.9766125498044719, 0.14082456837847818)"
81,8,1,"(0.9809449911117554, 0.9731575846672058)","(0.9748099786530776, 0.7806793549577247)"
82,8,2,"(0.9779898524284363, 0.0004756152629852295)","(0.9670552241843663, 0.005007907754564444)"
83,8,3,"(0.9543701410293579, 0.015015631914138794)","(0.9671714249903848, 0.15132419954231757)"
84,8,4,"(0.9749422073364258, 0.16504356265068054)","(0.9704184566034235, 0.553629072927999)"
85,8,5,"(0.9762482047080994, 0.011873513460159302)","(0.962335725916195, 0.03629112430019011)"
86,8,6,"(0.929541677236557, 0.9494375586509705)","(0.9487290895273515, 0.15822632899715208)"
87,8,7,"(0.9792132079601288, 0.0006063282489776611)","(0.9612756982509681, 0.005637263764974002)"
