,conversation id,turn,score distilbert,score roberta
0,0,0,"(0.9839749336242676, 0.9122054278850555)","(0.9783409140064626, 0.9446771753495882)"
1,0,1,"(0.9812250435352325, 0.000548243522644043)","(0.9799477571112426, 0.005357657087883098)"
2,0,2,"(0.9824377298355103, 0.9644349813461304)","(0.9797494252416533, 0.9641706850494928)"
3,0,3,"(0.9837823510169983, 0.00045549869537353516)","(0.9773060928057923, 0.005681420129748841)"
4,0,4,"(0.9786919951438904, 0.0009287595748901367)","(0.9803483450878953, 0.005771295194393416)"
5,0,5,"(0.9718087017536163, 0.0004889965057373047)","(0.9621975450554425, 0.005371070136256009)"
6,0,6,"(0.9762560427188873, 0.9575985968112946)","(0.9078278437634235, 0.781975254289006)"
7,0,7,"(0.9817382395267487, 0.013537377119064331)","(0.9763959146427298, 0.9116559990439506)"
8,0,8,"(0.9746968448162079, 0.0014839768409729004)","(0.9730638034162, 0.005535896976819952)"
9,0,9,"(0.9788392186164856, 0.9302283525466919)","(0.9720369114943018, 0.1663421695782054)"
10,1,0,"(0.9803656935691833, 0.9726393818855286)","(0.9792237637528365, 0.956413456946719)"
11,1,1,"(0.9807273149490356, 0.00047776103019714355)","(0.9596058024366332, 0.00501341833192955)"
12,1,2,"(0.9803429841995239, 0.0011857450008392334)","(0.9744881092051428, 0.005240380019829205)"
13,1,3,"(0.9809975028038025, 0.9699879288673401)","(0.9687378483086755, 0.35554788828594797)"
14,1,4,"(0.9799081385135651, 0.0007578432559967041)","(0.967314370475928, 0.006392747510241512)"
15,1,5,"(0.0014264285564422607, 0.0004273056983947754)","(0.0065497126271441075, 0.004887524960184264)"
16,1,6,"(0.9618082940578461, 0.001550137996673584)","(0.9613701602160406, 0.016171092446284622)"
17,1,7,"(0.9756313860416412, 0.9717461466789246)","(0.9702472024396868, 0.95527257841009)"
18,1,8,"(0.983202338218689, 0.001108795404434204)","(0.9788953721891187, 0.0067069819108383595)"
19,1,9,"(0.9614143669605255, 0.8218721747398376)","(0.8935374903379103, 0.8868205837765936)"
